"ID";"Number";"Name";"Journal";"Owner"
"539";"SL1000-2900";"Komplet print monteret i kasse";"2022/02/10 MR: Bug 112, længere skruer til ladestation tilføjet i C5 (190539)
2022/02/10 MR: Bug 97, fladere møtrikker til tracker-holder indført i C5 (M3x6x6)";"Smartlift"
"94";"JSC-100";"Joystik print 3SW adapter";"060921EK: Ny gerber til næste printbestilling.
Silklayer ændret.";
"95";"JET-140";"JET Light supply cable for 3 LED Lights";"260619: Oprettet.";
"96";"KLT-600";"Lysautomatik for Linde Lltraktor";;
"97";"KLT-601";"Lysautomatik for Linde Lltraktor";;
"98";"GVL-110";"Styring for GMV Løfteåg";"Husk at CNC bearbejdning findes under: CNC-GVL-100";"GMV"
"99";"SSK-100";"Start stabiliserings-kondensator";;
"100";"JET-BET-3";"Just Easy Tool Betjening V3.00";"EK010720: Nyt Layout nu bestilt, med nedenstående rettelse.

EK120919: Tilføj R12-C6 iht. diagram. Tilføjelsen er lavet nu, men ikke på de første printpaneler der er kommet hjem.";"Just Easy Tools"
"101";"W-575-0125-3";"Fjernbetjening komplet V3.00";;
"102";"ATM-100";"Animal Transport Monitor 100";;"Breeders"
"104";"JET-110-2";"Power logik box V.2.0";"EK181119:MONT-JET-110-2 & KNOP-JET-110-2 monteres her i huset på 2 MPer, indtil videre. ";
"105";"JET-120-2";"Terminalbox V.2.0";;
"107";"ATM-101";"Animal Transport Monitor 101 Tablet      ";"04-07-2022NK:
""Køling"" funk tilføjet i App.
08-04-2021MJ:
Mulighed for at invertere ""TAG"" og ""BAGKLAP""
indgange.";"Breeders"
"108";"UCD-100";"USB Charge Data modul";;
"103";"SSM-100";"Speeder Servo Modul";"030821EK: Nyt PCBlayout så der kan laves bestykningsvariant til SSM-101 for SENT kommunikation.
*BEMÆRK* Produktionsbeskrivelsen skal rettes, således at ved SSM-100 skal R43,46 fjernes, og (PE14,PE15 µP) skal være ""0"" permanent.
SSM-101 skal C35,36 fjernes og tilhørende SW implementeres. 

110621EK: Ny software release V2.9.0

190321EK (Nyt panel layout)
Panelet er ændret så Molex stikkene vender ud mod rammens yderkant, og kan derfor monteres og bølgeloddes. PCB Prodfil er opdateret d.d.

190321EK (Stykliste ændring)
R29,38 Ændret i værdi fra 100K til 27K. 
Dette ændre indgangsområdet fra 5V til 10V.

061020EK (SW Ver2.7.0.)
Ændring i SW: Ved kørsel med håndspeeder og fartpilot, hvor håndspeeder er i ""tomgang"", skifter relæerne signalet over til fodspeeder.
Dette for at undgå fejllamper(især på Mercedes)
Issue i Ålborg dd. (EK/KT). 

160920EK Prod. data opdateret stykliste Rev2.
2 stk. 10µF 16V 0603 tilføjet. 


Leif: monterer med følgende bestykning 09-2020.
R24, 25 = 5k6
R26, 27, 35 = 22k
R33, 34, 38 = 10K

EK:271119 
R24,25,26,35 ændret til 56K
R27,33,34,38 ændret til 100K

SBA:010520
Rykket hullerne i fræserfilen 0.5mm op.";"Langhøj"
"109";"FBR-APC-100";"APC-102 sikkerhedsrelæ";;
"117";"W-400-0100-3";"Winlet Controller V3.00";"041219 EK:
Der anvendes stykliste for GMV-100 Rev.E.
R92,93 ændret fra 10K til 22K. XIN1 og XIN2 ændret fra 0-5V indgange til 0-10V. Hvilket er nødvendigt på Winlet ver. 3 styringer.
-----------------------------------------------";"GMV"
"540";"SSM-101";"Speeder Servo Modul Digital";;"Langhøj"
"111";"UVC-821";"UVC Controller for Clean Box";;"NatDis"
"112";"GEM-220";"Tiller <16x 0,5#> Controlbox";;"GMV"
"113";"DEFAULT";"Standard produkt";;
"114";"MSS-200 V2";"Spejl speedometer komplet V2";"EK: Oprettet i MPM 141119- Spejl (MSS-220) og 
server (MSS-211) er tilføjet som komponenter.
Dette produkt skal IKKE have påsat serie no.
HUSK at intaste komponenternes serieno.
";
"115";"JET-KAB08";"Kabel for Gripper / Stacker 8m m/stik";;
"118";"MMBToolbox";"Mechtronic Toolbox for programming.";;"All"
"119";"JET-100-3";"Komplet JET-100-3 Kit";"140120 MPM oprettet";"Just Easy Tools"
"120";"SSM-130";"Servo speeder potentiometer";"Første SMD mont 09.2020.";"Langhøj"
"121";"SSK-120";"Start Spændings Kondensator";;
"122";"ISU-100-KAB1";"Ledningsnet til ISU-100";;
"123";"SL608-0110";"Powerkabel til SL608";;"Smartlift"
"26";"MWD-510";"MWD-510 Remote";"120718 Knud opdatering pga. dårligt radiosignal og stort strømforbrug.

Firmware version 2.1.0 til MWD-510, MWD-520 og MWD-530 opdateret på FTP server.


Som nævnt, fik jeg i går øje på at MWD-500 brugte lidt mere strøm end den ladestrømmen.
-	Og fik øje på et stort forbrug fra display – det kæmpende jeg også en del med.
Lavede bla. en mellemforbindelse til display, så jeg kunne måle strømmen i alle forbindelser imellem MMB100 og display.
-	Konklusionen blev, at det display som var i den MWD-500 i sendte, er deffekt!
I forhold til et andet display jeg har fået fra jer, bruger displayet ca. 52mA hvis men forsyner den direkte med +5V
+ den bruger 112mA ved 100% backligt (mod 100mA på et andet display).

Udover at det blå print er forskellig på de 2 display, så er det også 2 forskellige LCD moduler.
Har taget billede hvor selve LCD modulet er vippet op, ”Display(gammel).jpg” er den ’model’ som er OK.
Søgte på Internet omkring dette, men fandt ikke information herom.


MWD-510 ændringer i version 2.1.0 :
1)	Beep signal ved lav radiosignal ændret:
a) Ny ’kort’ beep signal hver sekund, hvis der er tabte 2 eller flere besked indenfor det sidste sekund (der sendes 10 gang pr. sekund).
b) Det oprindelige Beep-signal kommer nu ved noget svagere signal
    Har set en del gang, at den stadig kan holde forbindelse i lang tid når beep signal høres.
c) Det oprindelige Beep-signal stopper når den har modtaget 10 beskeder i træk.
2)	Har fundet en fejl i radiodelen udlæsning af Radio-signal-styrke fra Chippen, hvilket vil påvirke styrke af sendestyrke, m.m.
3)	Har fundet en mindre fejl ved SPI til Touch.
Er dog ikke fatal, da Touch har sin egen SPI bus.
Medført dog ca. 4mA ekstra forbrug.
4)	Har indført dæmpning af BackLight:
- Efter 1 minut uden betjening + under opladning dæmpes til 40%.
- 100% kan ’aktiveres’ igen ved et tryk på Touch (også uden at A-tasten holdes inde).
5)	Har målet de enkelt forbrug igennem (med et OK display)
a) CPU + Disp                                                    46,3mA
b) CPU + Disp + Radio (20mW)                        84,4mA
c) CPU + Disp + Radio (120mW)                       101,0mA
d) CPU + Disp + Radio (20mW) + 40% BL       122,0mA
e) CPU + Disp + Radio (20mW) + 100% BL     185,0mA

Ladestrøm (til batteri)                                        145mA
Ladestrøm (total)                                               266mA
6)	MWD-500 Radio sendestyrke: 20mW, 60mW, 120mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.
Jeg vurdere at, der er et ret stort tab i antennen – men kan ikke måle det….

MWD-520 + MWD-530 ændringer:
1)	CAN ændret til Active mode
2)	Radio sendestyrke: 20mW, 60mW (målt ledningsbåren, styres efter behov).
Jf. EN 300 220-1 må der max. sende med 25mW, men det er den udstrålede effekt.

Der er ingen forstærning i Procom antennen.
Vil forvente at der tabes ca. 1,5..2dB i den relative lave antenne.
Dvs. udstrålet effekt kan komme op på 90mW, hvilket er ca.2dB over det tilladte.

I forrige version fik basen lov at sende med op til 120mW.

Andet:
1)	Oplever periodisk fejl på DC stik til opladning.
2)	Antenneledning var loddet på antenneprint, så den gik direkte tilbage over antenne.
Ved ikke hvor meget det betyder – men tænker det ikke er optimal…
3)	Tror at antennen har ’problemer’ med den korte afstand til metalkabinet i siderne.
Vil forslå vi prøver en anden løsning – tegning vedhæftet.
4)	Da jeg har udskifte display i MWD-510 med det jeg ofte bruger til andre tests, vil jeg gerne – ved lejlighed – have et nyt display.

Test:
1)	I mine test har jeg brugte Procomm antenne, monteret i et skruestik som stod på bordet inde på kontoret.
Har så gået rundt med MWD-510 i haven og ned af jernbanestien.
2)	Oplever nu kun enkelte korte beep når jeg går rundt i haven.
3)	I går lavet rigtig mange test, hvor jeg log’ede data med PC fra MWD-510.
- Her skulle jeg ca. 150meter ned at jernbanestien før der begyndte at komme flere korte-beep.
- Ved ca. 250..300 begyndte det oprindelige Beep af lyde.
4)	I dag samlede jeg MWD-500 helt, og oplevede lidt kortere rækkevikke.
- I haven, stadig kun ganske får korte beep.
- ca. 100 meter nede af jernbanestien begyndte det oprindelige Beep signal.
  Blev stående nogen tid på de 100 meter, hvor den holdt forbindelsen.
";
"124";"SL608-0111";"Powerkabel til SL608";;"Smartlift"
"125";"SL608-0112";"Powerkabel til SL608";;"Smartlift"
"126";"SL608-0113";"Powerkabel til SL608";"2022/01/14 MR: Tilrettet iht. bug nr. 102";"Smartlift"
"128";"SL608-0114";"Powerkabel til SL608";;"Smartlift"
"129";"SL608-0115";"Powerkabel til SL608";"2022/01/14 MR: Tilrettet i henhold til bug 103 og 104.";"Smartlift"
"130";"SL608-0116";"Powerkabel til SL608";;"Smartlift"
"131";"SL608-0120";"Kabel til SL608";;"Smartlift"
"132";"SL608-0126";"Kabel til SL608";;"Smartlift"
"133";"SL608-0122";"Kabel til SL608";;"Smartlift"
"134";"SL608-0123";"Kabel til SL608";"250522 EK kabler ændret fra 2x2,5mm2 til 2x1,5mm2";"Smartlift"
"135";"SL608-0124";"Kabel til SL608";;"Smartlift"
"136";"SL608-0125";"Kabel til SL608";;"Smartlift"
"138";"SL608-0130";"Kabel til SL608";"2022/01/13 MR: Afisolering højre side rettet fra 25 til 16 cm. Anfordret af Nikolaj Holst <nh@smartlift.com>";"Smartlift"
"139";"SL608-0131";"Kabel til SL608";;"Smartlift"
"140";"SL608-0132";"Kabel til SL608";;"Smartlift"
"141";"SL608-0133";"Kabel til SL608";;"Smartlift"
"147";"MWD-500";"MWD-500 fjernbetjening sæt";;
"143";"SL608-0135";"Kabel til SL608";"19/10-20 - SBA
Den gule ledning klippes, mens den pinke bruges i stedet.
2022/02/11 MR/KG: Dette produkt er erstattet af SL608-1135 og udgår dermed.";"Smartlift"
"144";"WWR-100V4";"Winlet fjernbet.";"21-05-2021. EK Rettet panel layout.
25-01-2021. EK. BUG Oprette....Panelrettelse 
19-10-2020. KG. Print rettet, ny lydgiver.";"GMV"
"145";"WWR-200";"Winlet fjernbet.";"09-06-2021. EK BUG Rettet - Ny Stykliste.

08-06-2021. EK BUG Oprettet Vac.SW pull down modstand.

27-01-2021 EK. Endnu ny Gerber fil klar :
WWR-200x3PanelGerber270121.zip med ny lydgiver.
HUSK at anvende den ved næste printbest. 

25-01-2021 EK. Ny Gerber og stykliste anvend WWR-200Panel3 Gerber-25012.zip fil.

16-10-2020 KG. Print rettet, ny lydgiver.
";"GMV"
"146";"SL608-0134";"Kabel til SL608";;"Smartlift"
"148";"PAD-100";"Proportional Analog Divider";;
"149";"SID-100";"Service Indicator Display";;
"150";"JFD-100";"Print til joystick m/4 stk switches";;
"151";"NCN-100";"SVAB parallel joystick modul";;"NCN"
"152";"SKS-103";"Joystick 3P switch print m/ledning";;
"154";"WIN-100-3";"Terminalprint V.3.00";"090621EK:
Stykliste opdateret efter sidste rettelse af 141020.
141020EK:
Læs nedenstående fil inden næste PCB bestilling:
1PCB rettelser inden næste printbestilling.pdf

140920EK:
Rette R4,6 fra 100ohm til 1K.
Rette R7,10 fra 1K til 10K.
Årsag: µP kunne brænde af pga. manglende GND ved tilslutning af fjernbet.


Henrik det er WIN-100-3- 
110620.S19 der er den nyeste fil du skal programmere med!
EK - 6/8-20.
";"GMV"
"155";"U2F-224";"2ch analog joystik sig til 2x 2 PWM signal ";;"Lausø"
"157";"MMB-433-868";"433/868Mhz RF modul for MMB-100";;
"158";"U2F-240";"2 ch. speeder interface for rendegraver";"R29 og R38 skal ændres fra 100K til 27K

211020EK SW ændret med signal gennemgang via relæer, indtil IN1 aktiv ( Extern speeder valgt ).
Herefter aktiveres relæerne, og signalerne fødes fra ekstern speeder.  ";"Engcon"
"479";"MWD-6008";"Mechtronic Wireless Devicekit 8Ch.";;
"160";"SL1000-0101";"Powerkabel til SL1000";;"Smartlift"
"161";"SL1000-0102";"Powerkabel til SL1000";;"Smartlift"
"162";"SL1000-0103";"Powerkabel til SL1000";;"Smartlift"
"163";"SL1000-0104";"Powerkabel til SL1000";;"Smartlift"
"164";"SL1000-0105";"Powerkabel til SL1000";;"Smartlift"
"165";"SL1000-0106";"Powerkabel til SL1000";;"Smartlift"
"166";"SL1000-0107";"Powerkabel til SL1000";;"Smartlift"
"167";"SL1000-0108";"Powerkabel til SL608";;"Smartlift"
"168";"SL1000-0109";"Powerkabel til SL1000";;"Smartlift"
"169";"SL1000-0110";"Powerkabel til SL1000";;"Smartlift"
"170";"SL1000-0111";"Powerkabel til SL1000";;"Smartlift"
"171";"SL1000-0112";"Powerkabel til SL1000";;"Smartlift"
"172";"SL1000-0300";"Kabel til SL1000";;"Smartlift"
"173";"SL1000-0301";"Kabel til SL1000";;"Smartlift"
"174";"SL1000-0200";"Kabel til SL1000";;"Smartlift"
"175";"SL1000-0201";"Kabel til SL1000";;"Smartlift"
"176";"SL1000-0302";"Kabel til SL1000";;"Smartlift"
"177";"SL1000-0303";"Kabel til SL1000";;"Smartlift"
"178";"SL1000-0400";"Kabelsæt SL1000-0400";;"Smartlift"
"179";"SL1000-0401";"Kabel til SL1000";;"Smartlift"
"180";"SL1000-0402";"Kabel til SL1000";;"Smartlift"
"181";"SL1000-0403";"Kabel til SL1000";;"Smartlift"
"182";"SL1000-0404";"Kabel til SL1000";;"Smartlift"
"183";"SL1000-0405";"Kabel til SL1000";;"Smartlift"
"184";"SL1000-0406";"Kabel til SL1000";;"Smartlift"
"185";"SL1000-0407";"Kabel til SL1000";;"Smartlift"
"186";"SL1000-0408";"Kabel til SL1000";;"Smartlift"
"187";"SL1000-0409";"Kabel til SL1000";;"Smartlift"
"188";"SL1000-0410";"Kabel til SL1000";;"Smartlift"
"189";"SL1000-0411";"Kabel til SL1000";;"Smartlift"
"190";"SL1000-0500";"Kabelsæt SL1000-0500";;"Smartlift"
"191";"SL1000-0501";"Kabel til SL1000";;"Smartlift"
"192";"SL1000-0502";"Kabel til SL1000";;"Smartlift"
"193";"SL1000-0503";"Kabel til SL1000";"SL1000-0503Rev230321EK :
Stik og tyller tilføjet. Kabelængden øget med 250mm.
2021/10/20 MR: Gummipakning tilføjet på tegning. ";"Smartlift"
"194";"SL1000-0504";"Kabel til SL1000";;"Smartlift"
"195";"SL1000-0505";"Kabel til SL1000";;"Smartlift"
"196";"SL1000-0506";"Kabel til SL1000";;"Smartlift"
"197";"SL1000-0507";"Kabel til SL1000";;"Smartlift"
"198";"SL408-0112";"Powerkabel til SL408";;"Smartlift"
"199";"SL408-0113";"Powerkabel til SL408";;"Smartlift"
"200";"SL408-0114";"Powerkabel til SL408";;"Smartlift"
"201";"SL408-0115";"Powerkabel til SL408";;"Smartlift"
"202";"SL408-0116";"Powerkabel til SL408";;"Smartlift"
"203";"SL408-0117";"Powerkabel til SL408";;"Smartlift"
"204";"SL408-0123";"Kabel til SL408";"250522 EK Ændret kabelet fra 2x2,5mm2 til 2x1,5mm2";"Smartlift"
"205";"SL408-0124";"Kabel til SL408";;"Smartlift"
"206";"SL408-0126";"Kabel til SL408";;"Smartlift"
"207";"SL408-0127";"Kabel til SL408";;"Smartlift"
"208";"SL408-0128";"Kabel til SL408";;"Smartlift"
"209";"SL408-0130";"Kabel til SL408";;"Smartlift"
"210";"SL408-0131";"Kabel til SL408";;"Smartlift"
"211";"SL408-0132";"Kabel til SL408";;"Smartlift"
"212";"SL408-0134";"Kabel til SL408";;"Smartlift"
"213";"SL408-0135";"Kabel til SL408";"2022/02/11 MR/KG: Dette produkt er erstattet af SL408-1135 og udgår dermed.";"Smartlift"
"214";"SL408-0136";"Kabel til SL408";;"Smartlift"
"215";"SL1000-0412";"Kabel til SL1000";;"Smartlift"
"216";"SL1000-0508";"Kabel til SL1000";;"Smartlift"
"217";"MONT-GMV-100-3";"Knop produktin af GMV-100";"04-03-2020.
Samme print som MONT-GMV-100-2, men følgende er ændret.
R77 ændret fra 1,8K til 1,2K.
R86 ændret fra 470ohm til 390ohm.
R92 ændret fra 10K til 22K
R93 ændret fra 10K til 22K";"GMV"
"218";"CAN-SNIF";"Can Sniffer ";;"All"
"219";"NIV-200v2";"Niveau-sensor X/Y/Z 360Grader CAN bus";;
"220";"JET-210";"Stacker 800 styring";;"JET"
"221";"HVJ-6I5O";"HV Elektro Jesper blæserstyring";;
"223";"W-400-0301";"Vac.Cen Vac.Val Terminal<>Controller";;"GMV"
"224";"W-400-0100";"Powerkabel til W-400";;"GMV"
"225";"W-400-0101";"Powerkabel til W-400";;"GMV"
"226";"W-400-0102";"Powerkabel til W-400";;"GMV"
"227";"W-400-0103";"Powerkabel til W-400";;"GMV"
"228";"W-400-0104";"Powerkabel til W-400";;"GMV"
"229";"W-400-0105";"Powerkabel til W-400";;"GMV"
"230";"W-400-0106";"Powerkabel til W-400";;"GMV"
"231";"W-400-0107";"Powerkabel til W-400";;"GMV"
"232";"W-400-0108";"Powerkabel til W-400";;"GMV"
"233";"W-400-0109";"Powerkabel til W-400";;"GMV"
"234";"W-400-0110";"Powerkabel til W-400";;"GMV"
"235";"W-400-0111";"Powerkabel til W-400";;"GMV"
"236";"W-400-0300";"TILLERHEAD <7X0.5#> TERMINALP.";;"GMV"
"237";"W-400-0302";"Længdemåler kabel M12 5P<>6P CAN";;"GMV"
"238";"W-400-0305";"Curtis <> Winlet computer";;"GMV"
"239";"W-400-0303";"Hyd. ventil kabel";;"GMV"
"240";"GEM-333";"Override switch";;"GMV"
"241";"W-400-0304";"EM Brakecable";;"GMV"
"242";"MS-04-028-2";"Nødstop m/kabel for MountIt Trolley";;
"243";"6I5O";"IO Modul 6I-5O";;
"244";"BAT-124";"Batterivagt";;
"245";"PWM-100(6I5O)";"PWM generator 100Hz";;
"246";"NIV-512";"Powerboks for NIV-510";;
"247";"KIV-100(6I5O)";"Kumatzu Interval Viskermodul";;
